R_Abundance (%)	Reads	superfamily	phylum	class	order	family	genus	species
0.001	182	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Gemmataceae	Gemmata	Gemmata obscuriglobus
0.009000000000000001	1460	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter mucosalis
0.03	5146	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0.009000000000000001	1560	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida
0.761	128724	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas syringae
0.013000000000000001	2260	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter hansenii
0.015000000000000001	2448	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter pasteurianus
0.005	792	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter oxydans
0.001	144	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidocella	Acidocella facilis
0.013000000000000001	2266	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea agglomerans
0.012	1940	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Rhodopseudomonas	Rhodopseudomonas palustris
0.018000000000000002	3186	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc mesenteroides
0.005	814	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Oenococcus	Oenococcus oeni
0.016	2606	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	Micrococcus luteus
0.006	1104	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis
0.001	98	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus hominis
0.006	1030	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis
0.26899999999999996	45594	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0.009000000000000001	1594	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0.001	142	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus coryniformis
0.001	88	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium xerosis
0.187	30456	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0.003	500	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Acidipropionibacterium	Acidipropionibacterium thoenii
0.002	384	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma mycoides
0.002	276	Eukaryota	-	Florideophyceae	Gigartinales	Gigartinaceae	Chondrus	Chondrus crispus
0.006	1076	Eukaryota	Phaeophyceae	-	Ectocarpales	Ectocarpaceae	Ectocarpus	Ectocarpus siliculosus
0.006999999999999999	1132	Eukaryota	-	-	Isochrysidales	Noelaerhabdaceae	Emiliania	Emiliania huxleyi
0.012	2006	Eukaryota	-	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	Symbiodinium microadriaticum
0.021	3594	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Dunaliellaceae	Dunaliella	Dunaliella salina
0.005	878	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas	Chlamydomonas reinhardtii
0.006999999999999999	1236	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Volvocaceae	Volvox	Volvox carteri
0.001	216	Eukaryota	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Chlorella	Chlorella sorokiniana
0.002	256	Eukaryota	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Auxenochlorella	Auxenochlorella pyrenoidosa
0.01	1718	Eukaryota	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Tetradesmus	Tetradesmus obliquus
0.004	628	Eukaryota	Streptophyta	Marchantiopsida	Marchantiales	Marchantiaceae	Marchantia	Marchantia polymorpha
0.004	740	Eukaryota	Streptophyta	Bryopsida	Funariales	Funariaceae	Physcomitrella	Physcomitrella patens
2.505	423992	Eukaryota	Streptophyta	-	Pinales	Pinaceae	Pinus	Pinus lambertiana
2.083	352576	Eukaryota	Streptophyta	-	Pinales	Pinaceae	Pinus	Pinus taeda
0.025	4220	Eukaryota	Streptophyta	-	Rosales	Cannabaceae	Cannabis	Cannabis sativa
0.036000000000000004	6082	Eukaryota	Streptophyta	-	Rosales	Cannabaceae	Humulus	Humulus lupulus
0.008	1368	Eukaryota	Streptophyta	-	Rosales	Moraceae	Ficus	Ficus carica
0.008	1388	Eukaryota	Streptophyta	-	Caryophyllales	Chenopodiaceae	Spinacia	Spinacia oleracea
0.008	1330	Eukaryota	Streptophyta	-	Caryophyllales	Caryophyllaceae	Dianthus	Dianthus caryophyllus
0.132	22374	Eukaryota	Streptophyta	-	Vitales	Vitaceae	Vitis	Vitis aestivalis
0.006999999999999999	1268	Eukaryota	Streptophyta	-	Caryophyllales	Polygonaceae	Fagopyrum	Fagopyrum esculentum
0.021	3576	Eukaryota	Streptophyta	-	Ericales	Actinidiaceae	Actinidia	Actinidia chinensis
0.003	508	Eukaryota	Streptophyta	-	Malvales	Malvaceae	Theobroma	Theobroma cacao
0.013000000000000001	2198	Eukaryota	Streptophyta	-	Brassicales	Caricaceae	Carica	Carica papaya
0.003	536	Eukaryota	Streptophyta	-	Cucurbitales	Cucurbitaceae	Cucumis	Cucumis melo
0.003	424	Eukaryota	Streptophyta	-	Cucurbitales	Cucurbitaceae	Cucumis	Cucumis sativus
0.005	778	Eukaryota	Streptophyta	-	Cucurbitales	Cucurbitaceae	Lagenaria	Lagenaria siceraria
0.006	932	Eukaryota	Streptophyta	-	Cucurbitales	Cucurbitaceae	Momordica	Momordica charantia
0.004	668	Eukaryota	Streptophyta	-	Malpighiales	Salicaceae	Populus	Populus trichocarpa
0.012	2096	Eukaryota	Streptophyta	-	Brassicales	Brassicaceae	Brassica	Brassica juncea
0.011000000000000001	1820	Eukaryota	Streptophyta	-	Brassicales	Brassicaceae	Brassica	Brassica napus
0.009000000000000001	1564	Eukaryota	Streptophyta	-	Brassicales	Brassicaceae	Brassica	Brassica nigra
