R_Abundance (%)	Reads	superfamily	phylum	class	order	family	genus	species
0.021	2548	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter mucosalis
0.026000000000000002	3136	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0.604	73326	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas syringae
0.001	70	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella nonliquefaciens
0.001	68	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidocella	Acidocella facilis
0.015	1918	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea agglomerans
0.001	172	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis
0.001	126	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Rhodopseudomonas	Rhodopseudomonas palustris
0.013000000000000001	1570	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	Micrococcus luteus
0.001	98	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis
0.001	76	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus thermophilus
0.47200000000000003	57240	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0.001	86	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus coryniformis
0.079	9266	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0.001	146	Eukaryota	Phaeophyceae	-	Ectocarpales	Ectocarpaceae	Ectocarpus	Ectocarpus siliculosus
0.001	164	Eukaryota	-	-	Isochrysidales	Noelaerhabdaceae	Emiliania	Emiliania huxleyi
0.006	674	Eukaryota	-	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	Symbiodinium microadriaticum
0.008	912	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Dunaliellaceae	Dunaliella	Dunaliella salina
0.004	446	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas	Chlamydomonas reinhardtii
0.005	600	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Volvocaceae	Volvox	Volvox carteri
0.001	74	Eukaryota	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Chlorella	Chlorella sorokiniana
0.001	132	Eukaryota	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Auxenochlorella	Auxenochlorella pyrenoidosa
0.01	1206	Eukaryota	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Tetradesmus	Tetradesmus obliquus
0.003	334	Eukaryota	Streptophyta	Marchantiopsida	Marchantiales	Marchantiaceae	Marchantia	Marchantia polymorpha
0.004	482	Eukaryota	Streptophyta	Bryopsida	Funariales	Funariaceae	Physcomitrella	Physcomitrella patens
2.52	305908	Eukaryota	Streptophyta	-	Pinales	Pinaceae	Pinus	Pinus lambertiana
2.4290000000000003	294842	Eukaryota	Streptophyta	-	Pinales	Pinaceae	Pinus	Pinus taeda
0.011000000000000001	1388	Eukaryota	Streptophyta	-	Rosales	Cannabaceae	Cannabis	Cannabis sativa
0.033	3980	Eukaryota	Streptophyta	-	Rosales	Cannabaceae	Humulus	Humulus lupulus
0.006	716	Eukaryota	Streptophyta	-	Rosales	Moraceae	Ficus	Ficus carica
0.004	532	Eukaryota	Streptophyta	-	Caryophyllales	Chenopodiaceae	Spinacia	Spinacia oleracea
