R_Abundance (%)	Reads	superfamily	phylum	class	order	family	genus	species
0.01	4378	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter mucosalis
0.023	10278	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0.003	1514	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas mendocina
0.003	1594	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida
0.076	34076	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas syringae
0.005	2420	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter hansenii
0.009	4016	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter pasteurianus
0.005	2172	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter oxydans
0.002	1210	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii
0.008	3230	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea agglomerans
0.001	20	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella oxytoca
0.006999999999999999	3180	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Rhodopseudomonas	Rhodopseudomonas palustris
0.002	686	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc gelidum
0.06199999999999999	28498	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc mesenteroides
0.013999999999999999	6182	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Oenococcus	Oenococcus oeni
0.002	836	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc fallax
0.001	358	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc carnosum
0.001	676	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis
0.002	710	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parauberis
0.001	586	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0.005	1876	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis
0.597	270748	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0.001	654	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus casei
0.001	242	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus hilgardii
0.006	2996	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0.001	678	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus paracasei
0.001	454	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus amylophilus
0.001	672	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus coryniformis
0.001	460	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus fermentum
0.032	14240	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0.003	1158	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma mycoides
0.005	2182	Eukaryota	-	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	Symbiodinium microadriaticum
0.002	1064	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Dunaliellaceae	Dunaliella	Dunaliella salina
0.001	334	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas	Chlamydomonas reinhardtii
0.001	668	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Volvocaceae	Volvox	Volvox carteri
0.004	2028	Eukaryota	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Tetradesmus	Tetradesmus obliquus
0.002	810	Eukaryota	Streptophyta	Marchantiopsida	Marchantiales	Marchantiaceae	Marchantia	Marchantia polymorpha
0.006	2616	Eukaryota	Streptophyta	Bryopsida	Funariales	Funariaceae	Physcomitrella	Physcomitrella patens
2.648	1201680	Eukaryota	Streptophyta	-	Pinales	Pinaceae	Pinus	Pinus lambertiana
1.9909999999999999	903714	Eukaryota	Streptophyta	-	Pinales	Pinaceae	Pinus	Pinus taeda
0.011000000000000001	5158	Eukaryota	Streptophyta	-	Rosales	Cannabaceae	Cannabis	Cannabis sativa
0.019	8600	Eukaryota	Streptophyta	-	Rosales	Cannabaceae	Humulus	Humulus lupulus
0.005	2396	Eukaryota	Streptophyta	-	Rosales	Moraceae	Ficus	Ficus carica
0.004	2026	Eukaryota	Streptophyta	-	Caryophyllales	Chenopodiaceae	Spinacia	Spinacia oleracea
0.006	2566	Eukaryota	Streptophyta	-	Caryophyllales	Caryophyllaceae	Dianthus	Dianthus caryophyllus
0.17	77318	Eukaryota	Streptophyta	-	Vitales	Vitaceae	Vitis	Vitis aestivalis
0.004	1992	Eukaryota	Streptophyta	-	Caryophyllales	Polygonaceae	Fagopyrum	Fagopyrum esculentum
0.009000000000000001	3976	Eukaryota	Streptophyta	-	Ericales	Actinidiaceae	Actinidia	Actinidia chinensis
0.003	1396	Eukaryota	Streptophyta	-	Malvales	Malvaceae	Theobroma	Theobroma cacao
0.003	1578	Eukaryota	Streptophyta	-	Brassicales	Caricaceae	Carica	Carica papaya
0.003	1278	Eukaryota	Streptophyta	-	Cucurbitales	Cucurbitaceae	Cucumis	Cucumis melo
0.001	440	Eukaryota	Streptophyta	-	Cucurbitales	Cucurbitaceae	Cucumis	Cucumis sativus
0.008	3532	Eukaryota	Streptophyta	-	Cucurbitales	Cucurbitaceae	Lagenaria	Lagenaria siceraria
0.003	1480	Eukaryota	Streptophyta	-	Cucurbitales	Cucurbitaceae	Momordica	Momordica charantia
0.006	2624	Eukaryota	Streptophyta	-	Malpighiales	Salicaceae	Populus	Populus trichocarpa
0.003	1256	Eukaryota	Streptophyta	-	Brassicales	Brassicaceae	Brassica	Brassica juncea
0.003	1282	Eukaryota	Streptophyta	-	Brassicales	Brassicaceae	Brassica	Brassica napus
0.002	952	Eukaryota	Streptophyta	-	Brassicales	Brassicaceae	Brassica	Brassica nigra
0.001	442	Eukaryota	Streptophyta	-	Brassicales	Brassicaceae	Brassica	Brassica rapa
0.003	1308	Eukaryota	Streptophyta	-	Brassicales	Brassicaceae	Brassica	Brassica oleracea
0.001	462	Eukaryota	Streptophyta	-	Brassicales	Brassicaceae	Capsella	Capsella bursa-pastoris
0.006	2774	Eukaryota	Streptophyta	-	Brassicales	Brassicaceae	Raphanus	Raphanus sativus
